hidden_size,dropout,lr,batch_size,num_layers,embedding_dim,val_loss,test_accuracy,test_f1_macro
32,0.4,0.0005,256,1,10,0.9226321675618238,0.5987565279649596,0.38122083935146334
32,0.4,0.0005,512,1,10,0.9220783739263425,0.5987302055256065,0.39110403651760484
32,0.4,0.0001,256,1,10,0.9219399783358313,0.5999041863207547,0.37631872699605845
32,0.4,0.0001,512,1,10,0.922264154018194,0.5998673349056604,0.37477038394802914
32,0.5,0.0005,256,1,10,0.9226355728740601,0.598751263477089,0.38101043278650587
32,0.5,0.0005,512,1,10,0.9220927454160119,0.5987723214285714,0.3913540816155125
32,0.5,0.0001,256,1,10,0.9219317033072002,0.5998936573450134,0.3762004926983163
32,0.5,0.0001,512,1,10,0.9222577583677776,0.5999094508086253,0.3747926611958108
32,0.6,0.0005,256,1,10,0.9226654166734078,0.5989197270889488,0.38132101273586017
32,0.6,0.0005,512,1,10,0.922082635157858,0.5987565279649596,0.3914859823457506
32,0.6,0.0001,256,1,10,0.9219199127406682,0.5999936826145552,0.37633395504360506
32,0.6,0.0001,512,1,10,0.9222451277717483,0.5998515414420486,0.3747739661323591
64,0.4,0.0005,256,1,10,0.9235532127353508,0.5995514656334232,0.37610905228212205
64,0.4,0.0005,512,1,10,0.9237080376820813,0.5993092991913747,0.3725215305628009
64,0.4,0.0001,256,1,10,0.923073280864628,0.6000305340296496,0.3883797055626698
64,0.4,0.0001,512,1,10,0.9227105706424481,0.6004358995956873,0.3842945977130266
64,0.5,0.0005,256,1,10,0.9235567533134599,0.5994461758760108,0.3759676893166914
64,0.5,0.0005,512,1,10,0.923710456903791,0.5993724730458221,0.3725465883400308
64,0.5,0.0001,256,1,10,0.9230780524630973,0.6000305340296496,0.388430334852566
64,0.5,0.0001,512,1,10,0.9227091408862179,0.6004148416442049,0.3841574766709573
64,0.6,0.0005,256,1,10,0.9235801805381925,0.5994724983153639,0.37594102682066727
64,0.6,0.0005,512,1,10,0.9237122478167293,0.5993514150943396,0.37255488544885274
64,0.6,0.0001,256,1,10,0.9230824635775207,0.5999410377358491,0.3883026609813445
64,0.6,0.0001,512,1,10,0.9227196601052128,0.600425370619946,0.3841035018591577
